Winery Name,Address,max group size,Tasting Price,Wine Specialties
Adelaida Vineyard & Winery,5805 Adelaida Road Paso Robles CA 93446,7,10,"Known for complex roussanne, estate grenache, crisp sauvignon blanc, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Adelaida Vineyards & Winery,"5805 Adelaida Rd, Paso Robles, CA 93446",4,30,"Known for elegant merlot, refreshing grenache blanc, rich petit verdot, and spicy zinfandel."
Allegretto Wines,"2700 Buena Vista Dr, Paso Robles, CA 93446",12,15,"Known for rich petit verdot, cabernet franc blends, and vibrant marsanne."
Alta Colina Vineyard & Winery,"2825 Adelaida Rd, Paso Robles, CA 93446",11,40,"Known for complex roussanne, elegant merlot, savory mourvèdre, and cabernet franc blends."
Ancient Peaks Winery,"22720 El Camino Real, Santa Margarita, CA 93453",11,30,Showcases classic gsm blends (grenache‑syrah‑mourvèdre) and spicy zinfandel.
AronHill Winery & Vineyard,"3745 CA-46 W, Templeton, CA 93465",8,15,"Known for barrel‑fermented chardonnay, refreshing grenache blanc, vibrant marsanne, and crisp sauvignon blanc."
Asuncion Ridge Vineyards,2560 La Panza Road Creston CA 93432,7,10,"Known for cabernet franc blends, elegant merlot, and aromatic viognier."
Asuncion Ridge Vineyards Tasting Room,"3520 Creston Rd, Paso Robles, CA 93446",6,40,"Known for inky petite sirah, crisp sauvignon blanc, classic gsm blends (grenache‑syrah‑mourvèdre), and spicy zinfandel."
Austin Hope & Treana Tasting Cellar,"1585 Live Oak Rd, Paso Robles, CA 93446",17,50,Showcases peppery syrah and complex roussanne.
Austin Hope Winery,5625 Vineyard Drive Paso Robles CA 93446,5,50,Showcases aromatic viognier and innovative red field blends.
B & E Vineyard & Winery,"10010 Creston Rd, Paso Robles, CA 93446",4,35,Showcases innovative red field blends and inky petite sirah.
Barr Estate Winery,"6950 Union Rd, Paso Robles, CA 93446",6,35,Showcases barrel‑fermented chardonnay and cabernet franc blends.
Barton Family Wines,"2174 CA-46, Paso Robles, CA 93446",10,10,"Known for vibrant marsanne, complex roussanne, and elegant merlot."
Bella Luna Estate Winery,"1850 Templeton Rd, Templeton, CA 93465",11,20,"Known for peppery syrah, complex roussanne, and rich petit verdot."
Benom Wines,"2959 Limestone Way, Paso Robles, CA 93446",20,20,Showcases peppery syrah and vibrant marsanne.
Bethel Rd. Distillery & Winery,"1266 N Bethel Rd, Templeton, CA 93465",4,35,Showcases savory mourvèdre and refreshing grenache blanc.
Bianchi Winery,"3380 Branch Rd, Paso Robles, CA 93446",10,50,Showcases estate grenache and innovative red field blends.
Booker Vineyard,2640 Anderson Road Paso Robles CA 93446,17,35,"Known for velvety malbec, spicy zinfandel, refreshing grenache blanc, and estate grenache."
Booker Vineyard and Winery,"2644 Anderson Rd, Paso Robles, CA 93446",11,25,"Known for inky petite sirah, complex roussanne, spicy zinfandel, and bold cabernet sauvignon."
Bovino Vineyards,"5685 El Pomar Dr, Templeton, CA 93465",18,20,Showcases bold cabernet sauvignon and estate grenache.
Brecon Estate,"7450 Vineyard Dr, Paso Robles, CA 93446",12,10,"Known for inky petite sirah, spicy zinfandel, and peppery syrah."
Broken Earth Winery,"5625 CA-46, Paso Robles, CA 93446",4,40,"Known for aromatic viognier, rich petit verdot, and cabernet franc blends."
Calcareous Vineyard,"3430 Peachy Canyon Rd, Paso Robles, CA 93446",9,15,"Known for barrel‑fermented chardonnay, peppery syrah, and savory mourvèdre."
CaliPaso Winery & Villa,"4230 Buena Vista Dr, Paso Robles, CA 93446",17,40,Showcases inky petite sirah and cabernet franc blends.
Caliza Winery,3530 Peachy Canyon Road Paso Robles CA 93446,14,15,Showcases cabernet franc blends and crisp sauvignon blanc.
Carmody McKnight Estate Wines,11240 Chimney Rock Road Paso Robles CA 93446,12,10,"Known for barrel‑fermented chardonnay, cabernet franc blends, and bold cabernet sauvignon."
Cass Winery,"7350 Linne Rd, Paso Robles, CA 93446",8,35,Showcases estate grenache and bold cabernet sauvignon.
Castoro Cellars,"1315 N Bethel Rd, Templeton, CA 93465",10,45,Showcases aromatic viognier and refreshing grenache blanc.
Cayucos Cellars,131 North Ocean Avenue Cayucos CA 93430,14,15,Showcases crisp sauvignon blanc and bold cabernet sauvignon.
Chateau Margene,4385 La Panza Road Creston CA 93432,7,10,"Known for estate grenache, savory mourvèdre, complex roussanne, and velvety malbec."
Chronic Cellars,"2020 Nacimiento Lake Dr, Paso Robles, CA 93446",6,15,Showcases peppery syrah and refreshing grenache blanc.
Clos LaChance Winery,1 Hummingbird Lane San Martin CA 95046,16,20,"Known for estate grenache, inky petite sirah, bold cabernet sauvignon, and savory mourvèdre."
Clos Solene,2918 Anderson Road Paso Robles CA 93446,7,20,"Known for vibrant marsanne, rich petit verdot, spicy zinfandel, and elegant merlot."
Clos Solène,"2040 Niderer Rd, Paso Robles, CA 93446",15,10,"Known for barrel‑fermented chardonnay, estate grenache, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Cordant Winery,"3310 Ramada Dr Suite A, Paso Robles, CA 93446",15,30,Showcases complex roussanne and savory mourvèdre.
Croad Vineyards,"3550 Vinedo Robles Ln, Paso Robles, CA 93446",12,40,Showcases vibrant marsanne and estate grenache.
Cypher Winery,7020 Vineyard Drive Paso Robles CA 93446,5,45,"Known for peppery syrah, velvety malbec, complex roussanne, and crisp sauvignon blanc."
DAOU Vineyards & Winery,"2777 Hidden Mountain Rd, Paso Robles, CA 93446",18,30,"Known for aromatic viognier, refreshing grenache blanc, and cabernet franc blends."
Daou Vineyards,2777 Hidden Mountain Road Paso Robles CA 93446,7,45,"Known for vibrant marsanne, savory mourvèdre, rich petit verdot, and elegant merlot."
Dark Star Cellars,2985 Anderson Road Paso Robles CA 93446,16,10,"Known for rich petit verdot, velvety malbec, inky petite sirah, and barrel‑fermented chardonnay."
Denner Vineyards,"5414 Vineyard Dr, Paso Robles, CA 93446",6,30,"Known for innovative red field blends, vibrant marsanne, and velvety malbec."
Derby Wine Estates,525 Pine Street Paso Robles CA 93446,13,35,Showcases savory mourvèdre and spicy zinfandel.
Doce Robles Winery & Vineyard,2023 Twelve Oaks Drive Paso Robles CA 93446,15,50,"Known for elegant merlot, peppery syrah, bold cabernet sauvignon, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Dover Canyon Winery,4520 Vineyard Drive Paso Robles CA 93446,10,45,"Known for velvety malbec, classic gsm blends (grenache‑syrah‑mourvèdre), rich petit verdot, and elegant merlot."
Dubost Winery,"9988 Chimney Rock Rd, Paso Robles, CA 93446",6,25,"Known for elegant merlot, complex roussanne, estate grenache, and barrel‑fermented chardonnay."
Dunning Vineyards,1953 Niderer Road Paso Robles CA 93446,5,50,Showcases vibrant marsanne and elegant merlot.
Eberle Winery,"3810 CA-46, Paso Robles, CA 93446",11,35,Showcases classic gsm blends (grenache‑syrah‑mourvèdre) and spicy zinfandel.
Edward Sellers Vineyards & Wines,1200 Park Street Paso Robles CA 93446,13,10,"Known for barrel‑fermented chardonnay, rich petit verdot, peppery syrah, and innovative red field blends."
Epoch Estate Wines,"7505 York Mountain Rd, Templeton, CA 93465",6,40,"Known for vibrant marsanne, spicy zinfandel, aromatic viognier, and barrel‑fermented chardonnay."
Field Recordings Winery,"3070 Limestone Way, Paso Robles, CA 93446",11,50,Showcases vibrant marsanne and aromatic viognier.
Finestra Winery,2840 Union Road Paso Robles CA 93446,7,40,Showcases cabernet franc blends and bold cabernet sauvignon.
Four Lanterns Winery,"2485 West Highway 46, Paso Robles, CA 93446",16,50,"Known for aromatic viognier, barrel‑fermented chardonnay, elegant merlot, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Four Sisters Winery,783 13th Street Paso Robles CA 93446,12,45,"Known for velvety malbec, peppery syrah, cabernet franc blends, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Fratelli Perata,"1595 Arbor Rd, Paso Robles, CA 93446",18,50,"Known for refreshing grenache blanc, complex roussanne, barrel‑fermented chardonnay, and peppery syrah."
Glunz Family Winery & Cellars,"8331 CA-46 E, Paso Robles, CA 93446",15,40,Showcases estate grenache and elegant merlot.
Graveyard Vineyards,"6990 Estrella Rd, San Miguel, CA 93451",9,35,"Known for complex roussanne, barrel‑fermented chardonnay, and savory mourvèdre."
